id_venda;cod_cliente;Des_Cliente;cod_produto;nom_produto;cod_marca;des_marca;Ano_venda;Mês_venda;Dia_venda;dtc_venda;qtd_venda;val_venda;num_nota
2,006;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;3;3;03/03/2015;1;342.09;1,440
2,075;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;11;19;19/11/2015;1;342.09;780
2,134;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;2;26;26/02/2015;1;342.09;454
2,137;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;2;25;25/02/2014;1;342.09;202
2,233;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;2;24;24/02/2014;3;342.09;1,435
2,329;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;9;3;03/09/2015;3;342.09;830
2,421;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;5;3;03/05/2015;2;342.09;336
2,489;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;8;16;16/08/2015;1;342.09;676
2,944;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;6;12;12/06/2014;1;342.09;600
2,972;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;1;14;14/01/2015;3;342.09;972
3,076;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;1;2;02/01/2014;1;342.09;629
3,356;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;4;2;02/04/2014;3;342.09;512
3,403;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;9;27;27/09/2014;2;342.09;514
3,824;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;2;7;07/02/2014;2;342.09;872
3,901;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;3;2;02/03/2015;2;342.09;251
3,939;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;3;20;20/03/2015;1;342.09;460
3,996;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;1;22;22/01/2015;3;342.09;330
4,015;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;3;11;11/03/2015;2;342.09;891
4,298;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;3;14;14/03/2015;3;342.09;186
4,350;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;2;4;04/02/2014;1;342.09;509
4,402;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;8;19;19/08/2014;3;342.09;1,242
4,645;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;6;20;20/06/2015;3;342.09;872
4,744;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;12;8;08/12/2015;1;342.09;799
4,866;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;8;21;21/08/2015;2;342.09;1,051
4,868;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;9;24;24/09/2015;2;342.09;1,388
4,909;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;5;20;20/05/2014;3;342.09;1,155
5,117;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;12;24;24/12/2014;1;342.09;1,323
5,122;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;1;26;26/01/2015;3;342.09;1,087
5,446;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;4;25;25/04/2015;3;342.09;1,436
5,492;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;1;2;02/01/2015;1;342.09;1,133
5,600;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;7;15;15/07/2015;1;342.09;442
5,763;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;5;16;16/05/2015;1;342.09;995
5,797;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;1;8;08/01/2014;3;342.09;283
5,825;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;8;12;12/08/2015;2;342.09;545
5,847;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;5;10;10/05/2014;3;342.09;1,094
5,892;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;11;9;09/11/2014;1;342.09;581
5,918;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;11;23;23/11/2014;3;342.09;1,239
5,982;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;10;21;21/10/2015;2;342.09;741
5,984;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;2;17;17/02/2015;1;342.09;482
6,005;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;7;8;08/07/2015;2;342.09;1,120
6,310;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;9;19;19/09/2015;3;342.09;104
6,355;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;7;23;23/07/2015;3;342.09;972
6,372;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;2;16;16/02/2014;2;342.09;953
6,652;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;11;16;16/11/2014;1;342.09;455
7,267;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;4;12;12/04/2015;1;342.09;331
7,328;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;8;9;09/08/2014;3;342.09;412
7,332;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;6;5;05/06/2014;2;342.09;708
7,557;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;7;25;25/07/2014;1;342.09;180
7,710;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;2;26;26/02/2014;3;342.09;182
7,738;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;6;25;25/06/2015;3;342.09;234
7,755;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;11;9;09/11/2015;2;342.09;772
8,055;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;8;18;18/08/2015;3;342.09;1,054
8,129;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;11;2;02/11/2014;3;342.09;721
8,287;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;5;6;06/05/2014;2;342.09;473
8,346;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;6;25;25/06/2014;2;342.09;5
8,550;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;2;17;17/02/2014;3;342.09;672
8,834;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;5;1;01/05/2014;3;342.09;441
9,112;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;7;14;14/07/2014;2;342.09;342
9,194;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;1;25;25/01/2015;1;342.09;307
9,261;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;1;4;04/01/2014;3;342.09;376
9,271;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;3;10;10/03/2015;2;342.09;1,427
9,276;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;2;21;21/02/2014;1;342.09;296
9,295;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;4;9;09/04/2015;2;342.09;1,046
9,517;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;7;10;10/07/2015;2;342.09;324
9,782;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;9;6;06/09/2015;3;342.09;784
9,784;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;4;26;26/04/2015;3;342.09;1,200
9,828;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;7;14;14/07/2015;3;342.09;881
9,888;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;4;11;11/04/2015;1;342.09;1,349
9,967;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;10;26;26/10/2015;3;342.09;1,093
10,024;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;10;28;28/10/2014;2;342.09;805
10,045;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;3;27;27/03/2014;3;342.09;331
10,080;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;11;26;26/11/2015;3;342.09;435
10,261;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;12;14;14/12/2015;1;342.09;1,403
10,346;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;4;12;12/04/2014;3;342.09;1,217
10,375;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;2;1;01/02/2015;1;342.09;1,454
10,431;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;9;21;21/09/2015;2;342.09;1,079
10,483;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;6;23;23/06/2015;2;342.09;76
10,498;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;6;23;23/06/2014;3;342.09;847
43;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;10;1;01/10/2014;2;342.09;860
93;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;7;3;03/07/2014;3;342.09;1,322
164;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;4;28;28/04/2014;1;342.09;99
368;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;11;20;20/11/2014;1;342.09;357
396;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;5;8;08/05/2015;3;342.09;446
689;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;10;5;05/10/2014;1;342.09;979
840;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;9;6;06/09/2014;2;342.09;364
1,795;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;10;14;14/10/2014;3;342.09;1,122
2,051;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;3;22;22/03/2014;3;342.09;719
2,162;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;10;12;12/10/2014;2;342.09;882
2,181;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;2;1;01/02/2015;2;342.09;445
2,481;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;5;22;22/05/2015;3;342.09;1,170
2,528;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;2;25;25/02/2015;1;342.09;528
2,561;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;4;14;14/04/2014;1;342.09;1,070
2,582;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;5;16;16/05/2015;2;342.09;138
2,590;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;10;14;14/10/2015;3;342.09;388
2,623;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;11;25;25/11/2015;2;342.09;246
2,787;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;8;7;07/08/2014;3;342.09;956
2,829;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;10;3;03/10/2015;2;342.09;885
2,975;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;6;8;08/06/2015;3;342.09;1,159
3,190;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;5;23;23/05/2015;2;342.09;39
3,442;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;2;23;23/02/2015;2;342.09;716
3,530;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;10;17;17/10/2015;1;342.09;599
4,111;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;10;23;23/10/2015;2;342.09;1,148
4,272;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;11;8;08/11/2015;2;342.09;490
4,340;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;10;13;13/10/2014;2;342.09;177
4,374;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;11;21;21/11/2014;2;342.09;477
4,653;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;8;27;27/08/2015;1;342.09;846
5,001;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;11;19;19/11/2015;1;342.09;939
5,246;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;10;6;06/10/2014;1;342.09;1,373
5,277;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;11;26;26/11/2014;1;342.09;1,315
5,285;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;10;11;11/10/2015;2;342.09;673
5,375;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;5;28;28/05/2015;1;342.09;794
5,545;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;3;13;13/03/2014;2;342.09;297
5,745;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;6;19;19/06/2014;3;342.09;1,119
6,055;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;3;15;15/03/2015;2;342.09;1,166
6,206;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;6;28;28/06/2014;1;342.09;891
6,527;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;7;15;15/07/2014;3;342.09;376
6,545;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;5;2;02/05/2015;1;342.09;451
6,769;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;12;9;09/12/2015;2;342.09;957
6,824;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;4;17;17/04/2014;2;342.09;958
6,892;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;6;12;12/06/2014;1;342.09;424
7,397;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;2;9;09/02/2015;2;342.09;248
7,788;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;8;13;13/08/2014;2;342.09;1,106
7,997;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;4;28;28/04/2015;1;342.09;1,178
8,060;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;6;2;02/06/2014;1;342.09;109
8,336;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;10;24;24/10/2015;3;342.09;114
8,698;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;7;10;10/07/2015;3;342.09;1,166
8,817;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;4;16;16/04/2014;3;342.09;244
8,821;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;7;20;20/07/2015;3;342.09;1,069
8,902;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;9;16;16/09/2015;1;342.09;444
8,927;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;5;26;26/05/2015;3;342.09;646
8,959;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;12;14;14/12/2015;1;342.09;529
9,028;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;1;24;24/01/2015;1;342.09;706
9,046;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;1;7;07/01/2014;2;342.09;1,485
9,057;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;8;11;11/08/2014;1;342.09;502
9,197;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;8;4;04/08/2014;3;342.09;289
9,235;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;3;4;04/03/2015;2;342.09;899
9,327;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;11;19;19/11/2014;3;342.09;1,135
9,389;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;9;19;19/09/2014;2;342.09;429
9,938;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,014;7;21;21/07/2014;2;342.09;1,108
10,060;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;10;12;12/10/2015;1;342.09;62
10,203;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;9;5;05/09/2015;3;342.09;1,317
10,428;2;BENITO DE PAULA;3;TECLADO;1;APPLE;2,015;9;1;01/09/2015;2;342.09;256
100;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;2;1;01/02/2014;1;342.09;252
133;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;1;13;13/01/2014;1;342.09;1,134
394;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;7;21;21/07/2014;3;342.09;1,399
609;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;2;17;17/02/2015;2;342.09;838
643;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;12;2;02/12/2015;3;342.09;951
686;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;10;25;25/10/2014;3;342.09;1,488
1,085;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;6;21;21/06/2015;3;342.09;579
1,164;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;8;5;05/08/2014;3;342.09;1,214
1,271;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;1;27;27/01/2014;2;342.09;781
1,380;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;2;19;19/02/2014;1;342.09;270
1,383;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;1;11;11/01/2014;3;342.09;440
1,527;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;6;28;28/06/2015;1;342.09;714
1,715;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;7;10;10/07/2014;1;342.09;308
1,811;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;1;9;09/01/2015;3;342.09;493
2,078;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;12;21;21/12/2015;2;342.09;698
2,079;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;8;16;16/08/2014;3;342.09;473
2,465;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;1;9;09/01/2014;1;342.09;539
2,648;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;11;19;19/11/2015;1;342.09;906
3,010;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;7;6;06/07/2014;1;342.09;410
3,030;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;10;4;04/10/2014;2;342.09;67
3,052;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;10;14;14/10/2015;1;342.09;387
3,123;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;11;21;21/11/2014;1;342.09;722
3,657;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;11;4;04/11/2015;1;342.09;26
3,702;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;1;25;25/01/2014;1;342.09;1,162
3,714;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;5;23;23/05/2015;2;342.09;1,342
3,836;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;11;4;04/11/2014;3;342.09;593
4,106;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;7;22;22/07/2014;1;342.09;1,294
4,362;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;8;8;08/08/2014;3;342.09;1,026
4,416;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;2;16;16/02/2014;1;342.09;534
4,553;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;4;16;16/04/2014;2;342.09;1,498
4,682;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;1;9;09/01/2015;1;342.09;104
4,765;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;2;24;24/02/2015;1;342.09;1,464
4,800;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;8;16;16/08/2014;1;342.09;561
5,190;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;6;7;07/06/2014;2;342.09;920
5,258;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;5;26;26/05/2015;3;342.09;1,113
5,333;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;5;3;03/05/2014;2;342.09;1,192
5,510;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;7;12;12/07/2014;3;342.09;1,213
5,721;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;10;22;22/10/2014;1;342.09;476
5,836;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;5;20;20/05/2015;1;342.09;86
5,841;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;12;10;10/12/2014;1;342.09;415
5,999;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;10;1;01/10/2014;2;342.09;493
6,192;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;1;20;20/01/2014;1;342.09;54
6,860;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;10;8;08/10/2015;2;342.09;1,166
7,005;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;1;13;13/01/2015;3;342.09;1,140
7,041;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;7;23;23/07/2015;3;342.09;278
7,181;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;6;8;08/06/2015;1;342.09;287
7,224;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;3;2;02/03/2015;2;342.09;1,112
7,338;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;11;24;24/11/2014;2;342.09;60
7,343;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;4;24;24/04/2014;2;342.09;818
7,383;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;5;17;17/05/2015;1;342.09;950
7,718;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;4;21;21/04/2015;1;342.09;1,186
7,969;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;2;25;25/02/2015;2;342.09;1,216
8,047;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;9;6;06/09/2014;3;342.09;1,356
8,056;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;12;16;16/12/2015;1;342.09;90
8,150;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;5;5;05/05/2015;1;342.09;161
8,551;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;9;24;24/09/2014;3;342.09;1,130
8,571;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;8;18;18/08/2014;2;342.09;409
8,640;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;5;9;09/05/2014;3;342.09;1,390
8,885;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;5;10;10/05/2015;1;342.09;242
9,136;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;10;19;19/10/2015;1;342.09;455
9,143;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;4;26;26/04/2014;2;342.09;601
9,215;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;9;3;03/09/2015;1;342.09;439
10,004;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;3;10;10/03/2015;2;342.09;1,313
10,040;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;10;11;11/10/2015;2;342.09;656
10,141;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;9;13;13/09/2014;3;342.09;1,437
10,175;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;6;19;19/06/2015;2;342.09;1,365
10,210;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;12;5;05/12/2014;3;342.09;585
10,482;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,014;2;1;01/02/2014;2;342.09;549
10,484;3;RENATO RUSSO;3;TECLADO;1;APPLE;2,015;7;5;05/07/2015;3;342.09;523
59;4;TOM JOBIM;3;TECLADO;1;APPLE;2,014;2;2;02/02/2014;1;342.09;848
284;4;TOM JOBIM;3;TECLADO;1;APPLE;2,015;9;3;03/09/2015;1;342.09;1,201
322;4;TOM JOBIM;3;TECLADO;1;APPLE;2,015;4;7;07/04/2015;3;342.09;414
622;4;TOM JOBIM;3;TECLADO;1;APPLE;2,015;12;12;12/12/2015;3;342.09;1,237
735;4;TOM JOBIM;3;TECLADO;1;APPLE;2,015;6;6;06/06/2015;3;342.09;584
765;4;TOM JOBIM;3;TECLADO;1;APPLE;2,014;4;21;21/04/2014;2;342.09;208
820;4;TOM JOBIM;3;TECLADO;1;APPLE;2,015;8;18;18/08/2015;2;342.09;1,202
885;4;TOM JOBIM;3;TECLADO;1;APPLE;2,014;1;14;14/01/2014;1;342.09;1,470
886;4;TOM JOBIM;3;TECLADO;1;APPLE;2,015;4;14;14/04/2015;3;342.09;825
1,207;4;TOM JOBIM;3;TECLADO;1;APPLE;2,014;2;4;04/02/2014;2;342.09;74
1,245;4;TOM JOBIM;3;TECLADO;1;APPLE;2,015;9;20;20/09/2015;3;342.09;758
1,375;4;TOM JOBIM;3;TECLADO;1;APPLE;2,014;4;19;19/04/2014;2;342.09;698
1,378;4;TOM JOBIM;3;TECLADO;1;APPLE;2,015;2;9;09/02/2015;1;342.09;47
1,459;4;TOM JOBIM;3;TECLADO;1;APPLE;2,015;7;19;19/07/2015;1;342.09;355
1,480;4;TOM JOBIM;3;TECLADO;1;APPLE;2,015;8;3;03/08/2015;2;342.09;425
1,663;4;TOM JOBIM;3;TECLADO;1;APPLE;2,015;8;20;20/08/2015;2;342.09;954
1,705;4;TOM JOBIM;3;TECLADO;1;APPLE;2,014;2;5;05/02/2014;1;342.09;565
1,729;4;TOM JOBIM;3;TECLADO;1;APPLE;2,014;11;15;15/11/2014;1;342.09;1,382
1,872;4;TOM JOBIM;3;TECLADO;1;APPLE;2,015;5;8;08/05/2015;2;342.09;1,118
